Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,Cloud

25/05/2022,22.6,26.3,18.9,0.0,1006.7,58,8,2
24/05/2022,21.8,26.3,17.3,0.1,1009.0,344,5,2
23/05/2022,22.3,27.4,17.2,0.6,1007.7,28,5,2
22/05/2022,22.3,27.4,17.2,0.0,1006.8,173,8,2
21/05/2022,21.8,26.5,17.1,3.8,1009.5,224,7,2
20/05/2022,21.2,26.5,15.9,0.0,1010.4,143,5,2
19/05/2022,19.4,23.8,15.0,0.0,1013.2,175,4,2
18/05/2022,18.2,21.5,15.0,0.8,1014.1,28,5,2
17/05/2022,20.1,25.1,15.1,3.9,1014.4,249,6,2
16/05/2022,19.7,25.1,14.3,0.0,1016.2,189,7,2
15/05/2022,18.2,23.7,12.7,0.0,1019.1,263,8,2
14/05/2022,16.8,20.8,12.7,0.0,1017.0,46,14,2
13/05/2022,20.1,25.3,14.8,39.7,1009.2,26,17,2
12/05/2022,23.1,28.1,18.0,0.0,1005.5,16,7,2
11/05/2022,23.4,28.7,18.0,0.0,1008.1,84,7,2
10/05/2022,23.3,29.6,17.0,43.3,1006.7,185,9,2
